applicant_id,race,gender,income,credit_score,debt_to_income,employment_length,loan_amount,zip_code,approved
1625,White,Male,50124,645,0.41,0.1,110000,90389,1
7437,White,Male,39514,706,0.475,6.2,70000,90894,0
8990,White,Male,76968,807,0.19,2.2,211000,90499,1
4065,Hispanic,Female,32353,702,0.419,5.3,87000,92392,0
5482,White,Male,49541,728,0.32,3.2,120000,90388,1
2665,Black,Male,41133,644,0.469,0.0,88000,94068,0
4298,White,Male,28913,734,0.315,8.0,60000,90150,1
6151,White,Female,26048,685,0.25,30.8,41000,94918,1
4882,White,Male,56533,599,0.298,1.9,129000,90606,0
1039,White,Female,47133,588,0.228,4.6,56000,90392,0
6784,White,Male,51186,663,0.252,1.5,72000,94053,1
3127,Black,Male,37837,611,0.507,5.7,72000,94142,0
1787,Black,Female,42678,731,0.368,2.3,70000,91889,0
8533,White,Male,66535,657,0.375,3.9,148000,94771,0
77,Hispanic,Male,77745,728,0.286,10.7,195000,92821,1
9390,White,Male,20000,679,0.283,1.6,40000,94456,0
6932,White,Male,26782,584,0.264,39.8,40000,90917,1
559,Hispanic,Male,70351,683,0.353,16.9,101000,94720,0
427,White,Male,35156,681,0.21,0.7,95000,94238,0
5601,White,Male,60002,689,0.537,2.3,95000,90945,0
9046,White,Male,22771,653,0.336,1.2,47000,94720,0
9059,White,Male,21233,715,0.407,6.9,38000,90458,0
6565,White,Female,133470,738,0.432,0.4,392000,90224,1
9798,Black,Male,20000,651,0.397,0.0,31000,94316,0
2462,Hispanic,Female,65215,631,0.593,9.0,123000,92140,0
5071,White,Female,44047,687,0.412,2.6,117000,94073,0
9682,White,Male,22018,731,0.148,2.9,58000,90152,1
1284,White,Male,156949,721,0.304,8.6,419000,90714,1
625,Black,Female,20000,648,0.304,0.0,40000,91367,0
1780,Hispanic,Female,20000,641,0.176,0.0,43000,92992,0
6063,White,Male,33713,816,0.191,8.6,83000,94630,1
928,White,Male,87274,760,0.174,0.2,207000,90762,1
4094,Asian,Female,67553,697,0.369,1.5,141000,94375,0
9374,Hispanic,Female,34997,726,0.363,0.6,100000,94198,0
9866,White,Female,27951,721,0.368,0.7,73000,90134,0
891,Black,Female,36187,649,0.65,0.0,61000,91778,0
8047,Black,Female,28183,573,0.429,10.1,58000,91633,0
6446,White,Female,52540,740,0.53,4.9,102000,94179,0
4273,White,Male,30086,644,0.162,6.1,46000,90918,0
2191,White,Female,20067,720,0.207,1.2,36000,90455,1
3145,White,Male,69922,738,0.485,5.0,127000,90022,1
7191,White,Male,41631,664,0.396,2.4,65000,90564,0
8622,White,Female,24909,607,0.198,0.2,38000,90777,0
9965,White,Male,28657,691,0.247,2.7,47000,94839,0
9683,White,Female,28497,640,0.334,5.0,47000,90822,0
2773,Hispanic,Male,47506,737,0.141,5.4,91000,92277,0
6783,White,Male,37272,613,0.202,6.9,65000,90730,0
9406,White,Male,23730,605,0.343,0.6,27000,90144,0
7361,Black,Female,20000,613,0.389,3.8,31000,91835,0
999,Asian,Male,30248,725,0.295,2.0,92000,94180,0
5516,Hispanic,Male,34318,681,0.35,4.6,72000,92815,0
5879,White,Male,30681,713,0.392,6.6,81000,90424,0
7243,White,Male,29477,691,0.372,12.3,55000,90898,1
5001,White,Male,127429,803,0.384,16.4,325000,90314,1
8546,White,Female,28013,637,0.22,5.1,51000,94902,1
9439,White,Female,47969,581,0.222,6.7,55000,94681,0
1330,White,Male,48178,737,0.443,2.4,101000,90893,1
5564,White,Male,21748,639,0.501,4.5,55000,90273,0
2689,White,Female,73736,690,0.306,23.4,145000,90149,0
5295,Hispanic,Male,117615,714,0.429,2.1,255000,94185,0
3241,White,Male,40093,711,0.478,3.3,94000,94289,0
1866,Asian,Male,30001,579,0.359,11.4,59000,94733,0
243,Asian,Male,109373,744,0.335,13.3,192000,93730,1
80,White,Female,20000,621,0.111,4.0,35000,94693,0
5441,White,Female,47181,716,0.563,8.3,80000,90973,0
6047,White,Female,38810,690,0.386,9.5,59000,94748,0
2280,White,Male,47019,744,0.243,3.4,142000,90498,1
2412,White,Female,30052,742,0.364,0.7,63000,90937,1
8786,White,Female,51396,797,0.257,0.5,120000,94382,0
4133,Black,Male,50544,583,0.389,0.0,90000,94325,0
8372,White,Female,83987,755,0.374,1.4,268000,90347,1
4295,White,Female,60938,760,0.494,5.2,141000,90374,1
9907,Hispanic,Male,61432,654,0.258,0.5,128000,94345,0
8886,Black,Female,47194,718,0.513,7.7,135000,91259,0
2279,Black,Female,34792,742,0.277,6.0,77000,94215,1
2823,Black,Male,37515,617,0.318,1.9,57000,94932,0
7110,White,Female,49340,727,0.545,1.0,154000,90439,0
4835,White,Female,31861,550,0.394,7.8,55000,94836,0
6816,White,Male,125773,766,0.407,1.7,417000,94822,1
4503,White,Male,38918,708,0.317,5.3,82000,94885,1
866,White,Female,25777,709,0.499,0.4,77000,90692,0
6994,White,Male,23068,669,0.547,1.9,43000,90170,0
1752,White,Female,115242,791,0.512,9.6,406000,90351,1
5966,Hispanic,Male,54244,722,0.38,0.1,90000,92264,0
796,Hispanic,Male,64429,630,0.315,1.9,153000,92895,0
8805,Black,Male,50119,655,0.615,3.2,127000,91247,0
7176,White,Female,41647,738,0.441,3.6,138000,90108,0
1467,Asian,Male,37066,708,0.449,2.2,71000,94662,0
897,White,Male,51600,705,0.337,7.9,118000,90065,0
3525,White,Female,55015,620,0.319,1.2,146000,94454,0
583,White,Male,35655,637,0.465,1.1,75000,90098,0
2136,Hispanic,Male,45704,633,0.478,1.0,100000,92781,0
3364,White,Male,20000,707,0.194,0.8,34000,90823,1
2619,Hispanic,Male,44208,637,0.405,2.9,116000,92317,0
4985,White,Female,35946,655,0.385,0.5,88000,94925,0
8336,White,Female,66956,728,0.532,4.2,212000,94693,0
785,White,Female,101153,696,0.47,3.3,193000,90863,0
8889,White,Female,33240,674,0.332,0.3,89000,94084,0
2090,White,Female,35990,615,0.426,3.2,67000,94852,1
2778,White,Female,47420,725,0.198,7.0,134000,94584,1
8732,Black,Female,20000,582,0.395,12.6,29000,91923,0
3125,Black,Male,81028,603,0.538,4.4,152000,94899,1
5827,Black,Male,66365,695,0.519,4.1,184000,94994,0
8162,White,Female,35762,753,0.503,2.3,73000,90373,1
767,Hispanic,Female,20000,633,0.49,0.5,48000,94480,0
4540,White,Male,24193,666,0.253,1.8,65000,90539,0
4258,White,Female,31810,609,0.35,1.2,50000,94165,0
2742,White,Female,38761,697,0.475,4.2,64000,90733,1
5708,White,Male,117776,778,0.349,1.8,292000,94148,1
1206,Hispanic,Female,32584,772,0.623,5.8,105000,94692,0
1613,White,Male,20000,613,0.508,3.4,28000,90891,0
740,White,Male,23258,730,0.14,2.8,61000,94134,1
9656,White,Female,29172,732,0.45,1.7,85000,94552,0
3004,Black,Male,49114,648,0.337,0.0,81000,94239,0
6799,White,Male,113877,644,0.315,6.2,183000,90087,1
6727,White,Male,44943,647,0.57,10.5,89000,90401,0
2924,White,Female,76625,629,0.378,2.5,166000,94004,1
3163,White,Female,33163,708,0.422,1.5,89000,94335,0
4139,Black,Female,22144,627,0.475,0.6,28000,94832,0
8301,Hispanic,Female,20000,747,0.296,1.2,50000,92653,0
9299,Asian,Male,83933,766,0.37,6.7,223000,93798,0
5851,White,Male,85819,718,0.368,1.4,143000,90230,1
3863,White,Male,41765,640,0.536,0.7,65000,90688,0
1657,White,Female,97487,761,0.376,5.6,215000,90429,1
6588,White,Male,98130,695,0.445,5.0,263000,94549,0
8392,White,Female,74623,685,0.308,6.3,130000,90553,0
3497,Hispanic,Female,25893,677,0.52,1.0,47000,92097,0
6721,Hispanic,Male,118214,796,0.328,3.8,447000,94425,1
508,Hispanic,Male,85699,693,0.418,0.0,173000,92731,1
7926,White,Female,74926,795,0.303,8.1,239000,90002,1
4130,White,Male,35143,672,0.451,3.8,58000,94074,0
287,White,Male,43420,707,0.396,1.8,116000,90282,1
2587,White,Male,51209,737,0.28,9.1,146000,90302,0
6329,White,Female,24704,796,0.438,1.8,76000,90145,1
3071,Black,Male,88230,682,0.211,11.0,203000,91436,1
7170,White,Male,43931,754,0.327,5.4,102000,90195,0
2169,Black,Female,51263,615,0.208,3.8,121000,91369,0
5700,White,Male,38893,691,0.384,10.0,105000,90682,1
5311,White,Female,104014,769,0.444,12.1,272000,90937,1
807,Asian,Male,123264,839,0.429,21.8,311000,94789,1
3877,White,Male,78489,768,0.545,0.5,222000,90764,1
6262,Hispanic,Female,37094,614,0.426,2.2,68000,92703,0
7639,White,Male,76041,794,0.44,12.8,237000,90734,1
9248,White,Male,21626,701,0.528,3.3,51000,90779,0
7526,Black,Female,38908,699,0.412,0.0,60000,91413,0
1453,Hispanic,Male,84635,649,0.251,5.1,188000,92622,0
2767,White,Female,56607,648,0.283,4.4,95000,90531,0
5407,Asian,Female,20687,733,0.531,4.9,50000,94524,0
7842,White,Male,31357,645,0.522,4.8,49000,90597,0
4234,Asian,Female,29547,731,0.306,1.5,56000,93451,0
6286,White,Female,20000,568,0.546,1.4,33000,94329,0
4669,Black,Female,28751,587,0.227,1.7,31000,91084,0
9447,Asian,Female,30606,721,0.405,1.0,66000,94101,0
4277,White,Male,80056,640,0.451,30.6,132000,90626,1
2104,Black,Female,20000,688,0.308,13.0,30000,91556,0
3632,White,Male,42868,597,0.261,11.6,73000,94445,0
2361,White,Female,226540,850,0.468,0.3,819000,90937,1
134,White,Male,30201,614,0.203,4.7,55000,90831,0
7090,White,Female,29516,674,0.247,11.9,52000,94423,0
7017,White,Male,44709,718,0.248,1.8,115000,90039,1
9101,White,Female,20000,620,0.239,3.7,26000,90270,0
9027,White,Male,54524,744,0.34,6.1,88000,90046,1
5077,Black,Male,20000,693,0.513,5.9,54000,94569,0
318,White,Male,20000,760,0.58,8.2,54000,90116,1
6950,White,Male,73450,656,0.209,1.0,125000,90852,0
6753,White,Male,41022,671,0.343,3.9,86000,94258,1
6326,White,Male,48161,767,0.15,2.2,140000,90980,1
8941,White,Female,88377,728,0.318,15.8,189000,90090,1
1586,White,Female,26875,580,0.464,12.7,36000,90640,0
9864,Hispanic,Female,20000,663,0.439,9.1,53000,92209,0
5618,White,Female,64656,671,0.405,4.7,94000,94875,0
3650,Asian,Female,50777,653,0.122,4.3,77000,93128,0
9461,Black,Male,23735,607,0.417,2.9,45000,91638,0
1420,Asian,Female,51869,702,0.525,0.9,108000,94996,0
2038,White,Female,51540,680,0.336,2.9,111000,90413,0
3790,Asian,Female,36937,739,0.414,1.0,109000,93444,0
7267,White,Male,28613,603,0.566,5.9,59000,90209,0
5625,White,Male,20000,700,0.257,1.6,37000,90784,1
8975,White,Male,34504,683,0.411,0.4,54000,90057,0
9551,White,Female,70017,730,0.225,21.8,176000,94667,1
5063,White,Male,58428,679,0.348,15.0,90000,90643,0
7445,White,Male,73619,790,0.438,0.1,215000,94797,0
3616,White,Female,42372,642,0.513,8.5,63000,90774,0
6701,White,Female,38313,800,0.322,1.4,115000,94613,1
7682,White,Female,39250,565,0.227,0.3,83000,90867,0
5347,White,Male,26658,686,0.514,8.5,50000,90221,0
2876,White,Male,56017,625,0.29,2.3,101000,90454,1
2940,White,Male,78131,704,0.416,0.3,242000,94344,0
4309,Hispanic,Male,47405,647,0.342,2.5,100000,94347,0
927,White,Female,79092,744,0.126,3.1,254000,90969,1
9118,Asian,Male,26891,619,0.193,10.4,41000,94276,0
5514,Black,Female,30130,663,0.425,2.1,45000,91335,0
6133,White,Female,36459,756,0.399,1.2,112000,90329,1
5332,White,Female,21886,602,0.346,7.6,35000,90996,0
5915,White,Female,37296,718,0.248,10.4,83000,94002,0
8891,White,Male,26380,647,0.523,9.9,64000,90387,0
2181,White,Male,40469,690,0.306,11.2,65000,94318,1
9887,Hispanic,Female,27351,603,0.541,0.0,65000,94946,0
7485,White,Female,68581,656,0.482,7.6,152000,90051,0
6792,White,Male,41044,662,0.546,1.2,80000,90530,0
3058,White,Male,58236,677,0.34,2.0,116000,90259,0
7766,Black,Male,41811,649,0.257,1.7,99000,91081,1
6779,Asian,Male,43847,680,0.481,1.6,112000,93178,0
9785,White,Female,39974,666,0.448,0.3,68000,94042,0
3105,White,Female,30265,695,0.275,4.5,78000,90339,0
5848,Black,Female,22573,632,0.581,3.9,46000,94388,0
8909,White,Male,33899,688,0.429,21.5,63000,90799,1
8877,White,Male,40238,727,0.222,3.7,71000,90204,1
4162,White,Male,69076,661,0.395,8.0,133000,90425,1
4125,Hispanic,Female,39144,730,0.57,2.6,84000,92560,0
664,White,Male,54622,646,0.477,12.6,96000,90572,0
8811,White,Female,132327,681,0.482,11.6,231000,90421,1
1227,White,Female,65398,714,0.401,0.2,113000,90139,1
3221,White,Male,62698,653,0.25,15.7,104000,90603,0
2919,White,Male,30635,569,0.498,8.0,70000,90048,0
1981,White,Male,152426,752,0.334,0.9,375000,90556,1
833,White,Male,166312,788,0.419,13.1,377000,90443,1
6052,Asian,Female,45034,663,0.375,3.0,88000,94891,0
5164,White,Male,53373,670,0.258,1.6,93000,90813,1
1464,Black,Male,25779,599,0.444,7.4,53000,91571,0
4297,White,Female,45230,810,0.293,3.8,107000,90993,1
4780,White,Female,48157,650,0.361,2.8,96000,90745,0
3802,Asian,Male,68082,782,0.245,0.8,164000,93230,0
3835,White,Male,28602,599,0.226,1.2,60000,90203,0
9319,Black,Female,20000,596,0.34,7.5,37000,91804,0
9411,White,Female,23898,659,0.5,14.7,60000,90068,0
7969,White,Male,20000,695,0.36,4.0,49000,94307,0
471,White,Female,38343,629,0.279,13.1,60000,90235,0
2748,White,Female,51258,665,0.317,0.8,126000,90085,0
5005,Hispanic,Male,43572,737,0.367,0.2,145000,92583,0
3188,White,Female,23229,661,0.464,0.6,57000,90069,0
3828,White,Male,68062,665,0.469,0.3,146000,94508,1
8800,White,Female,108257,810,0.202,1.5,259000,94600,1
8130,White,Female,63998,694,0.226,0.7,171000,90974,1
40,White,Male,139837,733,0.318,5.4,210000,90048,1
3331,Black,Male,48837,667,0.59,6.2,102000,94950,0
349,White,Female,73642,671,0.306,6.3,134000,94589,1
4171,White,Female,74125,620,0.395,3.0,170000,94524,0
8086,Black,Male,80782,657,0.532,0.9,195000,91113,0
3166,White,Male,81108,717,0.409,8.7,160000,90983,0
8395,Hispanic,Male,34666,667,0.267,5.1,56000,92158,0
3107,Black,Male,55761,676,0.522,8.0,152000,91900,1
228,White,Female,58489,688,0.192,10.2,110000,90511,0
994,White,Male,55039,633,0.39,1.4,113000,90737,0
1504,White,Male,31042,766,0.418,3.1,105000,94447,1
6381,Black,Male,28091,673,0.541,5.0,60000,91823,0
4982,White,Male,31821,703,0.462,3.6,88000,90404,0
7070,White,Female,58279,666,0.24,1.6,171000,90843,0
9495,Black,Male,30215,650,0.494,9.6,80000,91101,0
4903,White,Male,103517,764,0.35,2.4,289000,90829,1
8093,White,Male,40618,688,0.485,10.9,116000,90269,0
981,White,Female,28770,733,0.25,3.8,49000,90265,0
5896,White,Male,42847,688,0.591,2.8,63000,90288,0
7741,Black,Male,38732,736,0.289,7.1,67000,94197,1
5324,Asian,Female,62410,796,0.42,16.2,141000,94725,1
133,White,Female,20000,635,0.193,12.1,41000,90049,0
2118,Black,Female,78936,722,0.434,5.4,158000,91863,1
1933,White,Male,101922,707,0.406,16.8,277000,90025,1
7578,Black,Male,32418,602,0.486,0.3,59000,91266,0
5817,White,Female,45551,767,0.226,1.5,101000,90512,1
3415,Hispanic,Female,27993,786,0.233,0.0,90000,92687,0
111,White,Male,32017,693,0.473,8.6,83000,90419,0
7642,White,Female,20000,711,0.458,0.9,45000,94748,0
8666,White,Female,45644,665,0.345,5.1,135000,90771,0
3554,White,Male,27314,611,0.359,0.3,38000,90290,0
2880,White,Male,32860,673,0.239,0.3,59000,90093,0
1683,Black,Male,30537,550,0.553,13.4,37000,94968,0
8597,White,Male,20000,702,0.381,1.4,45000,94206,0
1254,White,Female,49860,692,0.179,20.8,87000,94339,1
7643,White,Male,50014,739,0.326,1.8,172000,94596,0
6665,Hispanic,Male,51787,655,0.282,2.8,120000,92635,0
6216,Hispanic,Female,53965,641,0.49,3.0,114000,92631,0
4720,Asian,Male,83104,723,0.27,2.7,258000,94068,1
6616,Black,Male,23875,550,0.481,3.1,47000,91948,0
8192,White,Female,36598,681,0.308,0.4,102000,90745,0
1581,White,Male,63146,736,0.436,0.3,163000,90320,1
5595,White,Male,61778,729,0.522,9.6,156000,90579,1
7650,White,Female,103084,804,0.255,8.4,357000,90602,1
8667,Black,Female,31439,644,0.406,0.0,74000,91006,0
3571,White,Male,46807,658,0.363,11.5,74000,94169,0
3239,Black,Female,20000,601,0.515,0.9,47000,91639,0
8848,Black,Female,72914,645,0.479,0.4,155000,91586,0
4283,White,Female,58779,738,0.2,0.4,187000,90775,1
1696,White,Male,28475,624,0.38,7.3,49000,90223,0
8668,White,Female,41355,697,0.203,7.2,69000,90055,1
8755,Asian,Female,57373,759,0.386,4.0,122000,94503,1
2242,White,Male,35566,581,0.32,21.3,57000,94905,0
1584,White,Female,20000,680,0.391,1.2,31000,94350,0
1120,White,Male,69857,773,0.314,2.5,157000,90516,1
8959,Black,Male,25341,652,0.477,0.0,69000,91769,0
5742,White,Female,66768,741,0.216,8.1,203000,90586,1
3537,White,Male,115372,754,0.433,34.7,381000,94231,1
6531,White,Female,72100,708,0.235,3.8,136000,90715,1
3247,White,Male,31334,649,0.442,1.6,62000,90971,0
4549,Black,Female,20000,646,0.255,7.7,33000,91107,0
2548,White,Female,20503,759,0.351,2.5,38000,90431,0
1617,Asian,Male,144635,830,0.273,6.0,467000,94663,1
4599,White,Male,52746,728,0.492,13.7,106000,90482,0
1491,White,Female,43892,643,0.4,1.3,80000,94678,0
6368,White,Male,23866,570,0.359,3.7,49000,90192,0
9035,White,Male,49336,706,0.39,2.2,115000,94903,1
9559,Black,Female,75970,624,0.513,0.2,104000,91488,0
5833,Hispanic,Male,52196,645,0.435,3.1,77000,94291,0
3276,Hispanic,Male,73072,699,0.216,29.3,135000,92001,1
201,Black,Female,37235,662,0.483,0.6,59000,91159,0
5786,Asian,Male,94189,779,0.441,1.9,242000,94163,1
9912,Asian,Male,235510,850,0.439,38.5,867000,94177,1
1106,White,Male,28835,679,0.335,5.2,88000,90016,1
347,Black,Male,25469,550,0.263,11.5,23000,94800,0
8699,White,Male,37487,688,0.435,4.2,75000,94157,0
7581,Black,Male,79987,680,0.504,3.1,161000,91905,0
5870,White,Male,20046,645,0.233,3.7,52000,94433,0
9663,White,Male,44365,632,0.493,0.6,108000,90489,0
432,Hispanic,Male,209711,791,0.602,5.4,648000,92784,1
5901,Black,Male,32871,652,0.47,8.0,68000,91374,0
1725,Black,Female,22076,650,0.539,3.1,49000,91158,0
5690,Black,Female,20750,670,0.533,1.9,30000,91292,0
4408,White,Female,23432,670,0.348,13.5,39000,90500,1
2164,Hispanic,Male,23828,678,0.51,2.4,41000,94287,0
3088,White,Female,34418,710,0.272,6.3,77000,90515,1
9986,White,Female,66897,675,0.159,0.2,96000,90480,0
8062,White,Female,69309,716,0.266,16.1,226000,90301,1
1063,Hispanic,Female,49785,629,0.597,0.0,125000,94335,0
5860,White,Male,30878,653,0.463,10.1,79000,90915,0
4015,Black,Male,76833,635,0.569,23.6,122000,91066,1
5910,White,Male,30298,603,0.51,6.5,44000,90505,0
2263,Hispanic,Female,60876,676,0.335,6.2,168000,92385,0
1527,White,Male,25070,713,0.486,3.2,70000,90076,1
1347,White,Female,54736,602,0.402,5.9,102000,90839,0
9480,White,Female,50004,683,0.244,4.6,152000,90934,0
2652,White,Male,39353,656,0.361,12.5,59000,90216,0
8770,White,Female,27979,804,0.45,8.5,81000,90395,0
9090,Black,Female,36827,711,0.462,8.5,60000,91698,1
7307,Hispanic,Male,20000,781,0.385,1.1,58000,94006,0
265,Hispanic,Female,45423,617,0.405,6.6,97000,92219,0
5636,White,Male,26157,756,0.316,3.1,65000,90566,0
3340,Black,Male,62355,708,0.442,11.0,117000,91906,0
3893,Black,Male,66884,637,0.456,8.4,120000,94653,1
6915,White,Male,74380,641,0.549,13.8,127000,90308,0
2918,Hispanic,Female,30998,648,0.404,7.7,63000,92170,0
5943,White,Female,30137,696,0.376,7.6,51000,90889,0
1241,Hispanic,Male,39797,715,0.245,0.0,96000,92304,0
4891,White,Female,58336,616,0.471,8.6,124000,94661,0
4675,White,Male,21478,652,0.507,5.6,56000,90818,0
2153,Black,Male,20000,693,0.228,5.4,44000,94369,0
1927,White,Male,32893,652,0.293,7.0,54000,90354,1
6458,White,Female,29433,638,0.267,5.5,55000,90365,0
4383,White,Male,132151,757,0.161,3.8,347000,90979,1
6180,White,Male,94651,783,0.561,7.3,339000,94149,1
1674,Hispanic,Female,71142,777,0.327,0.0,202000,92682,1
4145,Asian,Male,111585,751,0.388,3.3,189000,93308,1
4362,Black,Female,23169,724,0.434,0.9,52000,91959,0
4557,Black,Male,87008,664,0.399,1.3,153000,94505,1
1114,White,Male,152870,716,0.262,21.6,254000,94102,1
3733,White,Female,20979,762,0.207,7.6,59000,94438,1
6396,White,Male,157684,721,0.304,16.9,381000,94131,1
3274,White,Female,36384,636,0.367,12.4,69000,90675,0
7441,Black,Female,101987,594,0.354,0.0,181000,94577,0
965,White,Female,34621,644,0.44,1.8,67000,94909,1
4871,White,Male,46967,656,0.197,5.4,83000,90390,0
3945,White,Male,40870,767,0.245,20.5,145000,90984,1
9604,White,Female,47855,735,0.513,0.8,128000,94162,0
6026,White,Male,38927,599,0.245,1.4,71000,90711,0
2673,Black,Female,20000,634,0.305,0.2,28000,91694,0
1176,White,Female,33889,702,0.221,2.8,55000,90170,0
6007,White,Male,52958,809,0.319,8.7,201000,90592,1
5466,White,Female,59382,721,0.509,0.1,161000,94527,0
6082,Asian,Male,50547,748,0.548,21.7,132000,93555,0
9497,White,Female,62205,695,0.376,23.8,141000,90743,1
3489,White,Male,24749,660,0.303,0.4,67000,90503,1
2330,White,Male,31722,692,0.454,5.4,94000,90372,0
9366,White,Male,48064,755,0.351,4.8,134000,90727,1
4208,White,Female,50729,685,0.25,0.2,83000,90983,0
9698,Black,Female,20000,658,0.306,0.0,48000,91679,0
3591,Asian,Male,83271,694,0.461,3.6,173000,94545,0
4046,White,Male,67698,798,0.494,3.6,257000,90658,1
4597,Black,Female,20000,666,0.448,0.4,37000,91022,0
5158,Hispanic,Female,58727,691,0.549,3.8,121000,92732,0
4716,White,Male,32104,712,0.48,20.1,63000,90384,1
7228,White,Female,87592,673,0.504,2.2,183000,90284,0
9710,White,Female,40382,737,0.236,4.7,90000,94887,0
4660,Black,Female,36360,623,0.51,9.6,62000,91971,0
1443,Black,Male,163211,734,0.517,19.6,287000,91303,1
4143,White,Female,57689,743,0.17,7.7,156000,90076,1
214,White,Female,70617,772,0.212,12.4,229000,90510,1
9527,Hispanic,Female,35004,645,0.436,0.0,52000,92640,0
9830,Black,Female,38091,591,0.342,0.0,74000,91219,0
9837,Hispanic,Male,20703,670,0.559,7.5,40000,92799,0
6911,White,Female,29180,740,0.576,10.9,83000,90860,1
7335,White,Male,62718,711,0.288,1.4,163000,94513,0
3308,White,Female,20000,703,0.285,0.2,56000,90504,0
9624,Black,Female,20000,741,0.364,5.5,43000,91295,1
4305,Hispanic,Male,89131,634,0.364,13.0,141000,92524,0
899,White,Male,20000,645,0.426,0.1,35000,90524,0
6299,Black,Male,20440,583,0.256,1.2,30000,91548,0
6053,White,Female,90865,712,0.437,1.3,175000,90649,0
7499,White,Male,39587,722,0.224,1.5,126000,90021,1
1352,White,Male,66217,709,0.419,3.0,171000,90536,1
5352,Asian,Male,30720,761,0.538,2.6,107000,94198,0
4153,Black,Male,67446,649,0.379,0.0,156000,91779,1
8251,Asian,Male,114505,728,0.388,9.3,344000,94856,1
1022,White,Male,152342,754,0.391,4.0,269000,94938,1
4947,Black,Male,51324,758,0.432,1.5,88000,91449,0
6633,Black,Male,91107,633,0.369,16.5,146000,91218,0
3060,Asian,Male,31696,640,0.508,4.5,49000,94025,0
5006,White,Male,20000,563,0.545,2.0,25000,94011,0
755,White,Male,27041,618,0.337,2.9,55000,94413,0
1116,White,Female,40806,687,0.45,1.2,85000,90401,0
9954,White,Female,41843,722,0.336,9.8,110000,90814,0
8615,White,Female,33279,726,0.458,2.2,74000,90904,0
7870,White,Male,100070,684,0.507,2.6,198000,90690,1
3052,White,Male,144895,707,0.31,11.4,253000,90492,1
6772,Hispanic,Female,33139,685,0.566,6.6,92000,92532,0
1701,Asian,Male,20825,748,0.236,0.4,54000,93759,0
494,White,Male,87564,689,0.449,0.9,179000,90848,0
2383,Asian,Male,26455,689,0.179,4.4,74000,93891,0
875,White,Female,94169,717,0.286,24.6,141000,90523,1
3923,Hispanic,Male,27062,752,0.483,3.5,54000,94328,0
8638,White,Male,51157,691,0.247,1.7,90000,94922,1
9112,White,Male,23904,612,0.522,1.2,62000,90984,0
4313,White,Female,122307,720,0.433,11.0,287000,94600,1
